INGRESADO,WK IN,N°REF ASLI,EJECUTIVO,SHIPPER,BOOKING,CANT CONT.,CONTENEDOR,WK ETD,NAVIERA,NAVE INICIAL,ESPECIE,T°,CBM,CT,CO2,O2,POL,POD,DEPÓSITO ,ETD,ETA,TT,FLETE,ESTADO,ROLEADA DESDE,INGRESO STACKING,TIPO INGRESO,N° BL ,ESTADO BL/SWB,CONTRATO,MES DE INGRESO,MES DE ZARPE,SEMANA DE ARRIBO,MES DE ARRIBO,FACTURACION,BOOKING PDF,COMENTARIO,OBSERVACION
10-02-2026,7,A0040,RODRIGO CACERES,COPEFRUT,266323223,,,8,MAERSK,JAIPUR MEARSK [2608],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,19-02-2026,06-03-2026,15,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,10,3,,,,
"10-02-2026,7,A0041,RODRIGO CACERES,COPEFRUT,266327533,3,""MMAU1126940"
MNBU3605365
"SUDU6205959"",8,MAERSK,JAIPUR MAERSK [2608],MANZANA,-0.5,30,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA VAP,19-02-2026,06-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,10,3,,,,"
"10-02-2026,7,A0042,RODRIGO CACERES,COPEFRUT,266323330,2,""SUDU8044977"
"MMAU1055804"",8,MAERSK,JAIPUR MAERSK [2608],MANZANA,1,10,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA VAP,19-02-2026,06-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,10,3,,,,"
10-02-2026,7,A0043,RODRIGO CACERES,COPEFRUT,266323369,,,8,MAERSK,JAIPUR MEARSK [2608],MANZANA,1,10,NO,,,VALPARAISO,BUENAVENTURA,CONTOPSA SAI,19-02-2026,06-03-2026,15,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,10,3,,,,
11-02-2026,7,A0044,POLIANA CISTERNAS,COPRAMAR,SAA0002465,,,,WAN HAI,YM ENLIGTHENMENT,ARANDANO,-18,0,NO,,,SAN ANTONIO,TOKYO,SITRANS SAI,,,,PREPAID,CONFIRMADA,,,NORMAL,,,ASLI,2,,,,,,,
11-02-2026,7,A0045,POLIANA CISTERNAS,COPRAMAR,SAA0002466,,,,WAN HAI,YM ENLIGTHENMENT,ARANDANO,-18,0,NO,,,SAN ANTONIO,TOKYO,SITRANS SAI,,,,PREPAID,CONFIRMADA,,,NORMAL,,,ASLI,2,,,,,,,
11-02-2026,7,A0046,POLIANA CISTERNAS,COPRAMAR,SAA0002463,,,,WAN HAI,WAN HAI V02,ARANDANO,-18,0,NO,,,SAN ANTONIO,TOKYO,SITRANS SAI,,,,PREPAID,CONFIRMADA,,,NORMAL,,,ASLI,2,,,,,,,
11-02-2026,7,A0047,POLIANA CISTERNAS,COPRAMAR,SAA0002464,,,,WAN HAI,WAN HAI V02,ARANDANO,-18,0,NO,,,SAN ANTONIO,TOKYO,SITRANS SAI,,,,PREPAID,cancelado,,,NORMAL,,,ASLI,2,,,,,,,
11-02-2026,7,A0048,RODRIGO CACERES,COPEFRUT,266378680,1,MMAU1149605,8,MAERSK,JAIPUR MAERSK [2608],MANZANA,-0.5,30,NO,,,VALPARAISO,PUERTO CALDERA,CONTOPSA SAI,19-02-2026,10-03-2026,19,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,11,3,,,,
11-02-2026,7,A0049,RODRIGO CACERES,COPEFRUT,266378648,1,MNBU4236071,8,MAERSK,JAIPUR MAERSK [2608],MANZANA,-0.5,30,NO,,,VALPARAISO,PUERTO CORTES,CONTOPSA SAI,19-02-2026,06-03-2026,15,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,10,3,,,,
12-02-2026,7,A0050,RODRIGO CACERES,COPEFRUT,266415602,1,MNBU3819639,8,MAERSK,JAIPUR MAERSK [2608],CIRUELA,-0.5,10,NO,,,VALPARAISO,ALGECIRAS,CONTOPSA SAI,19-02-2026,18-03-2026,27,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,12,3,,,,
13-02-2026,7,A0051,RICARDO LAZO,FENIX,SAA0002490,1,OTPU620095-9,8,WAN HAI,YM ENLIGHTENMENT [W091],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,SHANGHAI,MEDLOG SAI,20-02-2026,28-03-2026,36,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,13,3,,,,
13-02-2026,7,A0052,RICARDO LAZO,FENIX,SAA0002491,1,OTPU625843-6,8,WAN HAI,YM ENLIGHTENMENT [W091],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,SHANGHAI,MEDLOG SAI,20-02-2026,28-03-2026,36,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,13,3,,,,
13-02-2026,7,A0053,RICARDO LAZO,FENIX,SAA0002492,1,OTPU619570-2,8,WAN HAI,YM ENLIGHTENMENT [W091],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,SHANGHAI,MEDLOG SAI,20-02-2026,28-03-2026,36,COLLECT,CONFIRMADA,,,NORMAL,,,ASLI,2,2,13,3,,,,
13-02-2026,7,A0054,RODRIGO CACERES,COPEFRUT,266506279,,,9,MAERSK,MAERSK SKARSTIND [607W],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,25-02-2026,21-03-2026,24,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,12,3,,,,
13-02-2026,7,A0055,RODRIGO CACERES,COPEFRUT,266506335,,,9,MAERSK,MAERSK SKARSTIND [607W],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,25-02-2026,21-03-2026,24,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,12,3,,,,
13-02-2026,7,A0056,RODRIGO CACERES,COPEFRUT,266506459,,,9,MAERSK,MAERSK SKARSTIND [607W],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,25-02-2026,21-03-2026,24,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,12,3,,,,
13-02-2026,7,A0057,RODRIGO CACERES,COPEFRUT,266506518,,,9,MAERSK,MAERSK SKARSTIND [607W],CIRUELA,-0.5,10,NO,,,SAN ANTONIO,HONG KONG,CONTOPSA SAI,25-02-2026,21-03-2026,24,COLLECT,CANCELADO,,,NORMAL,,,ASLI,2,2,12,3,,,,
